"Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
2014,"Tasmania",1420,1725,-624
2014,"Victoria",39357,58393,10241
2014,"Western Australia",21650,15512,-2987
2015,"Australian Capital Territory",3771,3270,25
2015,"New South Wales",44580,72838,-8903
2015,"Northern Territory",2851,1544,-2081
2015,"Queensland",31575,19480,8741
2015,"South Australia",6212,11251,-5754
2015,"Tasmania",1032,1413,619
2015,"Victoria",38220,64191,13945
2015,"Western Australia",20724,12741,-6600
2016,"Australian Capital Territory",3671,3847,1911
2016,"New South Wales",46167,96202,-13318
2016,"Northern Territory",2930,2087,-2069
2016,"Queensland",32353,32427,14622
2016,"South Australia",6316,12107,-7693
2016,"Tasmania",1285,2277,1424
2016,"Victoria",39506,82908,17106
2016,"Western Australia",20961,11963,-11998
2017,"Australian Capital Territory",3365,4348,2311
2017,"New South Wales",42401,94928,-19983
2017,"Northern Territory",2696,1242,-2115
2017,"Queensland",29104,27637,22465
2017,"South Australia",5062,12103,-5418
2017,"Tasmania",705,2571,2347
2017,"Victoria",38700,87132,11264
2017,"Western Australia",19971,11702,-10871
2018,"Australian Capital Territory",3166,3816,2240
2018,"New South Wales",45861,92886,-23411
2018,"Northern Territory",2598,556,-3109
2018,"Queensland",30046,33737,23424
2018,"South Australia",5360,13964,-3687
2018,"Tasmania",1121,3165,3044
2018,"Victoria",38774,89537,7998
2018,"Western Australia",18784,14550,-6499
2019,"Australian Capital Territory",3456,2233,2529
2019,"New South Wales",43820,79284,-24613
2019,"Northern Territory",2462,991,-2154
2019,"Queensland",28964,33915,22955
2019,"South Australia",4996,16643,-2885
2019,"Tasmania",1013,3967,1352
2019,"Victoria",35942,85063,3962
2019,"Western Australia",18357,25505,-1146
2020,"Australian Capital Territory",3176,-471,3480
2020,"New South Wales",41271,7002,-27041
2020,"Northern Territory",2537,61,109
2020,"Queensland",28096,-999,32344
2020,"South Australia",4510,4056,2348
2020,"Tasmania",1130,628,2633
2020,"Victoria",33065,-20417,-21412
2020,"Western Australia",17138,5156,7539
2021,"Australian Capital Territory",3456,-769,1746
2021,"New South Wales",46096,11895,-42864
2021,"Northern Territory",2586,717,-2410
2021,"Queensland",29775,-786,51061
2021,"South Australia",5361,1114,2310
2021,"Tasmania",1108,1442,2092
2021,"Victoria",36036,-5554,-24659
2021,"Western Australia",18592,-1212,12724
2022,"Australian Capital Territory",2788,6962,-1228
2022,"New South Wales",32977,145609,-31560
2022,"Northern Territory",2255,3064,-2124
2022,"Queensland",23349,67637,34545
2022,"South Australia",3368,26177,670
2022,"Tasmania",664,4296,-941
2022,"Victoria",28221,133056,-9955
2022,"Western Australia",15003,46275,10593
2023,"Australian Capital Territory",2698,7962,-1834
2023,"New South Wales",32518,179126,-31678
2023,"Northern Territory",2031,4421,-3957
2023,"Queensland",21262,87848,31595
2023,"South Australia",2971,28758,-1289
2023,"Tasmania",454,4887,-3271
2023,"Victoria",27266,159496,-275
2023,"Western Australia",13975,68914,10709
