"Quarter","Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
"Jun",1995,"South Australia",1983,965,-1994
"Jun",1995,"Western Australia",3602,2925,1375
"Jun",1995,"Tasmania",722,27,-748
"Jun",1995,"Northern Territory",744,171,-242
"Jun",1995,"Australian Capital Territory",812,95,-640
"Sep",1995,"New South Wales",9602,12797,-2527
"Sep",1995,"Victoria",6873,6962,-4088
"Sep",1995,"Queensland",6248,4134,8643
"Sep",1995,"South Australia",1839,1024,-2144
"Sep",1995,"Western Australia",3498,3651,1123
"Sep",1995,"Tasmania",714,143,-623
"Sep",1995,"Northern Territory",754,238,-188
"Sep",1995,"Australian Capital Territory",804,193,-196
"Dec",1995,"New South Wales",10234,14384,-4506
"Dec",1995,"Victoria",7243,7435,-2698
"Dec",1995,"Queensland",6047,2967,8898
"Dec",1995,"South Australia",1669,980,-1493
"Dec",1995,"Western Australia",3181,3203,317
"Dec",1995,"Tasmania",583,46,-614
"Dec",1995,"Northern Territory",626,146,1068
"Dec",1995,"Australian Capital Territory",814,53,-972
"Mar",1996,"New South Wales",10978,11172,-5522
"Mar",1996,"Victoria",7665,6772,-3203
"Mar",1996,"Queensland",6658,2902,9495
"Mar",1996,"South Australia",2212,896,-1465
"Mar",1996,"Western Australia",3699,3182,1188
"Mar",1996,"Tasmania",713,115,-884
"Mar",1996,"Northern Territory",718,61,-46
"Mar",1996,"Australian Capital Territory",759,42,437
"Jun",1996,"New South Wales",9970,9692,-2215
"Jun",1996,"Victoria",6719,4523,-2811
"Jun",1996,"Queensland",6348,3048,5578
"Jun",1996,"South Australia",1780,753,-1090
"Jun",1996,"Western Australia",3575,2303,1438
"Jun",1996,"Tasmania",511,94,-469
"Jun",1996,"Northern Territory",731,124,-506
"Jun",1996,"Australian Capital Territory",685,102,75
"Sep",1996,"New South Wales",9227,13982,-3401
"Sep",1996,"Victoria",6606,7794,-2606
"Sep",1996,"Queensland",5575,4814,6409
"Sep",1996,"South Australia",1432,1069,-1209
"Sep",1996,"Western Australia",3242,3967,1289
"Sep",1996,"Tasmania",633,164,-650
"Sep",1996,"Northern Territory",692,321,647
"Sep",1996,"Australian Capital Territory",782,179,-467
"Dec",1996,"New South Wales",12080,9484,-3241
"Dec",1996,"Victoria",7745,4343,-1361
"Dec",1996,"Queensland",6114,1946,5321
"Dec",1996,"South Australia",1796,758,-855
"Dec",1996,"Western Australia",3464,2888,994
"Dec",1996,"Tasmania",654,82,-919
"Dec",1996,"Northern Territory",629,67,365
"Dec",1996,"Australian Capital Territory",807,-190,-292
"Mar",1997,"New South Wales",11166,11134,-2519
"Mar",1997,"Victoria",7470,7982,-684
"Mar",1997,"Queensland",6527,4506,3561
"Mar",1997,"South Australia",2051,1143,-710
"Mar",1997,"Western Australia",3923,4309,1795
"Mar",1997,"Tasmania",640,32,-740
"Mar",1997,"Northern Territory",707,125,-2
"Mar",1997,"Australian Capital Territory",712,132,-688
"Jun",1997,"New South Wales",10804,2691,-1500
"Jun",1997,"Victoria",6842,959,-1544
"Jun",1997,"Queensland",7370,1354,4314
"Jun",1997,"South Australia",1672,136,-544
"Jun",1997,"Western Australia",3529,1116,582
"Jun",1997,"Tasmania",517,-24,-1016
"Jun",1997,"Northern Territory",705,28,744
"Jun",1997,"Australian Capital Territory",742,-191,-1023
"Sep",1997,"New South Wales",8534,9222,-3144
"Sep",1997,"Victoria",6093,5593,-539
"Sep",1997,"Queensland",5750,4116,5274
"Sep",1997,"South Australia",1407,813,-468
"Sep",1997,"Western Australia",2970,3021,676
"Sep",1997,"Tasmania",433,-20,-791
"Sep",1997,"Northern Territory",684,262,-62
"Sep",1997,"Australian Capital Territory",646,-79,-934
"Dec",1997,"New South Wales",11009,6668,-3555
"Dec",1997,"Victoria",7447,2683,126
"Dec",1997,"Queensland",5754,1831,4995
"Dec",1997,"South Australia",1650,758,-743
"Dec",1997,"Western Australia",3253,2355,727
"Dec",1997,"Tasmania",547,9,-864
"Dec",1997,"Northern Territory",648,-2,-139
"Dec",1997,"Australian Capital Territory",711,-247,-536
"Mar",1998,"New South Wales",10460,12292,-2425
"Mar",1998,"Victoria",7408,9464,117
"Mar",1998,"Queensland",6635,4901,2925
"Mar",1998,"South Australia",2074,1382,-283
"Mar",1998,"Western Australia",3761,5019,1312
"Mar",1998,"Tasmania",625,88,-952
"Mar",1998,"Northern Territory",755,191,-203
"Mar",1998,"Australian Capital Territory",766,360,-477
"Jun",1998,"New South Wales",10042,3661,-3125
"Jun",1998,"Victoria",6774,1573,26
"Jun",1998,"Queensland",6508,1642,4230
"Jun",1998,"South Australia",1471,207,-502
"Jun",1998,"Western Australia",3732,1598,512
"Jun",1998,"Tasmania",499,-38,-1026
"Jun",1998,"Northern Territory",738,109,-68
"Jun",1998,"Australian Capital Territory",713,-276,-35
"Sep",1998,"New South Wales",9193,11777,-2663
"Sep",1998,"Victoria",6213,6753,-427
"Sep",1998,"Queensland",5821,3479,3638
"Sep",1998,"South Australia",1279,209,-144
"Sep",1998,"Western Australia",3408,4190,838
"Sep",1998,"Tasmania",605,120,-750
"Sep",1998,"Northern Territory",609,167,-54
"Sep",1998,"Australian Capital Territory",682,-161,-427
"Dec",1998,"New South Wales",10940,7498,-3750
"Dec",1998,"Victoria",6799,5758,1678
"Dec",1998,"Queensland",5675,2460,4640
"Dec",1998,"South Australia",1720,1330,-552
"Dec",1998,"Western Australia",3558,2271,-281
"Dec",1998,"Tasmania",660,343,-1007
"Dec",1998,"Northern Territory",597,374,-363
"Dec",1998,"Australian Capital Territory",770,44,-353
"Mar",1999,"New South Wales",10914,13771,-2909
"Mar",1999,"Victoria",7680,9803,526
"Mar",1999,"Queensland",6818,5535,3682
"Mar",1999,"South Australia",2100,1000,-381
"Mar",1999,"Western Australia",3688,4634,77
"Mar",1999,"Tasmania",680,-98,-862
"Mar",1999,"Northern Territory",742,218,-174
"Mar",1999,"Australian Capital Territory",759,239,54
"Jun",1999,"New South Wales",10258,8042,-3728
"Jun",1999,"Victoria",6385,2377,750
"Jun",1999,"Queensland",6122,2236,4722
"Jun",1999,"South Australia",1652,143,-554
"Jun",1999,"Western Australia",3855,2286,-338
"Jun",1999,"Tasmania",713,-194,-698
"Jun",1999,"Northern Territory",801,247,-362
"Jun",1999,"Australian Capital Territory",722,-347,220
"Sep",1999,"New South Wales",9676,11258,-2970
"Sep",1999,"Victoria",7019,7544,689
"Sep",1999,"Queensland",5774,3903,4057
